"year","corr","provname","comp_prov","full_ts_corr","dist_m","dist_km","dist_from_PP_m","dist_from_PP_km"
2007,0.965601721411727,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2008,0.869259375249494,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2009,0.801127616073213,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2010,0.839771946105232,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2011,0.771613627418126,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2012,0.861406874020195,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2013,0.736023806580708,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2014,0.48199602319075,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2015,0.817363686611315,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2016,0.730904288051181,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2017,0.646102157905088,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2018,0.851321795569187,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2019,0.920381447524805,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2020,0.791614436389131,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2002,0.843950582096836,"Banteay Meanchey","Kampong Chhnang",0.74803643626727,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2003,0.834297399826121,"Banteay Meanchey","Kampong Chhnang",0.74803643626727,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2004,0.634633207462159,"Banteay Meanchey","Kampong Chhnang",0.74803643626727,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2005,0.859951514417674,"Banteay Meanchey","Kampong Chhnang",0.74803643626727,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2006,0.854502569515884,"Banteay Meanchey","Kampong Chhnang",0.74803643626727,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2007,0.926942298778319,"Banteay Meanchey","Kampong Chhnang",0.74803643626727,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2008,0.826338794839905,"Banteay Meanchey","Kampong Chhnang",0.74803643626727,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2009,0.472459691849637,"Banteay Meanchey","Kampong Chhnang",0.74803643626727,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2010,0.961465742754663,"Banteay Meanchey","Kampong Chhnang",0.74803643626727,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2011,0.902752531813509,"Banteay Meanchey","Kampong Chhnang",0.74803643626727,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2012,0.902758608797998,"Banteay Meanchey","Kampong Chhnang",0.74803643626727,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2013,0.872887114979741,"Banteay Meanchey","Kampong Chhnang",0.74803643626727,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2014,0.715417500191225,"Banteay Meanchey","Kampong Chhnang",0.74803643626727,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2015,0.860890528571892,"Banteay Meanchey","Kampong Chhnang",0.74803643626727,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2016,0.637786979843515,"Banteay Meanchey","Kampong Chhnang",0.74803643626727,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2017,0.635194138628842,"Banteay Meanchey","Kampong Chhnang",0.74803643626727,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2018,0.457061663568318,"Banteay Meanchey","Kampong Chhnang",0.74803643626727,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2019,0.901018270850804,"Banteay Meanchey","Kampong Chhnang",0.74803643626727,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2020,0.774940581820022,"Banteay Meanchey","Kampong Chhnang",0.74803643626727,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2002,0.464703021902429,"Banteay Meanchey","Kampong Speu",0.82479203862244,278591.934064009,278.591934064009,312253.511127179,312.253511127179
2003,0.898528986544007,"Banteay Meanchey","Kampong Speu",0.82479203862244,278591.934064009,278.591934064009,312253.511127179,312.253511127179
2004,0.749152455869246,"Banteay Meanchey","Kampong Speu",0.82479203862244,278591.934064009,278.591934064009,312253.511127179,312.253511127179
2005,0.714643314546384,"Banteay Meanchey","Kampong Speu",0.82479203862244,278591.934064009,278.591934064009,312253.511127179,312.253511127179
2006,0.78323427765746,"Banteay Meanchey","Kampong Speu",0.82479203862244,278591.934064009,278.591934064009,312253.511127179,312.253511127179
2007,0.951485198988556,"Banteay Meanchey","Kampong Speu",0.82479203862244,278591.934064009,278.591934064009,312253.511127179,312.253511127179
2008,0.627146790256184,"Banteay Meanchey","Kampong Speu",0.82479203862244,278591.934064009,278.591934064009,312253.511127179,312.253511127179
2009,0.597114261110119,"Banteay Meanchey","Kampong Speu",0.82479203862244,278591.934064009,278.591934064009,312253.511127179,312.253511127179
2010,0.943735353697324,"Banteay Meanchey","Kampong Speu",0.82479203862244,278591.934064009,278.591934064009,312253.511127179,312.253511127179
2011,0.902057099416229,"Banteay Meanchey","Kampong Speu",0.82479203862244,278591.934064009,278.591934064009,312253.511127179,312.253511127179
2012,0.828945879554551,"Banteay Meanchey","Kampong Speu",0.82479203862244,278591.934064009,278.591934064009,312253.511127179,312.253511127179
2013,0.776904177218801,"Banteay Meanchey","Kampong Speu",0.82479203862244,278591.934064009,278.591934064009,312253.511127179,312.253511127179
2014,0.598402562677733,"Banteay Meanchey","Kampong Speu",0.82479203862244,278591.934064009,278.591934064009,312253.511127179,312.253511127179
2015,0.946919052047846,"Banteay Meanchey","Kampong Speu",0.82479203862244,278591.934064009,278.591934064009,312253.511127179,312.253511127179
2016,0.856759411289745,"Banteay Meanchey","Kampong Speu",0.82479203862244,278591.934064009,278.591934064009,312253.511127179,312.253511127179
2017,0.671836030566936,"Banteay Meanchey","Kampong Speu",0.82479203862244,278591.934064009,278.591934064009,312253.511127179,312.253511127179
2018,0.925070509987759,"Banteay Meanchey","Kampong Speu",0.82479203862244,278591.934064009,278.591934064009,312253.511127179,312.253511127179
2019,0.954514123318941,"Banteay Meanchey","Kampong Speu",0.82479203862244,278591.934064009,278.591934064009,312253.511127179,312.253511127179
2020,0.840327130730656,"Banteay Meanchey","Kampong Speu",0.82479203862244,278591.934064009,278.591934064009,312253.511127179,312.253511127179
2002,0.850648556331859,"Banteay Meanchey","Kampong Thom",0.718178477301779,231317.925008435,231.317925008435,312253.511127179,312.253511127179
2003,0.91823843395082,"Banteay Meanchey","Kampong Thom",0.718178477301779,231317.925008435,231.317925008435,312253.511127179,312.253511127179
2004,0.745588195273917,"Banteay Meanchey","Kampong Thom",0.718178477301779,231317.925008435,231.317925008435,312253.511127179,312.253511127179
2005,0.953577067128642,"Banteay Meanchey","Kampong Thom",0.718178477301779,231317.925008435,231.317925008435,312253.511127179,312.253511127179
2006,0.937995121753042,"Banteay Meanchey","Kampong Thom",0.718178477301779,231317.925008435,231.317925008435,312253.511127179,312.253511127179
2007,0.978195357118852,"Banteay Meanchey","Kampong Thom",0.718178477301779,231317.925008435,231.317925008435,312253.511127179,312.253511127179
2008,0.892958841245655,"Banteay Meanchey","Kampong Thom",0.718178477301779,231317.925008435,231.317925008435,312253.511127179,312.253511127179
2009,0.740333007016509,"Banteay Meanchey","Kampong Thom",0.718178477301779,231317.925008435,231.317925008435,312253.511127179,312.253511127179
2010,0.904529607761326,"Banteay Meanchey","Kampong Thom",0.718178477301779,231317.925008435,231.317925008435,312253.511127179,312.253511127179
2011,0.842741951677899,"Banteay Meanchey","Kampong Thom",0.718178477301779,231317.925008435,231.317925008435,312253.511127179,312.253511127179
2012,0.915273752298439,"Banteay Meanchey","Kampong Thom",0.718178477301779,231317.925008435,231.317925008435,312253.511127179,312.253511127179
2013,0.830434353657197,"Banteay Meanchey","Kampong Thom",0.718178477301779,231317.925008435,231.317925008435,312253.511127179,312.253511127179
2014,0.561445830963032,"Banteay Meanchey","Kampong Thom",0.718178477301779,231317.925008435,231.317925008435,312253.511127179,312.253511127179
2015,0.835876388521334,"Banteay Meanchey","Kampong Thom",0.718178477301779,231317.925008435,231.317925008435,312253.511127179,312.253511127179
2016,0.685292420597087,"Banteay Meanchey","Kampong Thom",0.718178477301779,231317.925008435,231.317925008435,312253.511127179,312.253511127179
2017,0.79093004474246,"Banteay Meanchey","Kampong Thom",0.718178477301779,231317.925008435,231.317925008435,312253.511127179,312.253511127179
2018,0.690660813570279,"Banteay Meanchey","Kampong Thom",0.718178477301779,231317.925008435,231.317925008435,312253.511127179,312.253511127179
2019,0.885052227497302,"Banteay Meanchey","Kampong Thom",0.718178477301779,231317.925008435,231.317925008435,312253.511127179,312.253511127179
2020,0.704407868407091,"Banteay Meanchey","Kampong Thom",0.718178477301779,231317.925008435,231.317925008435,312253.511127179,312.253511127179
2002,0.511040372394031,"Banteay Meanchey","Kampot",0.759333864168469,361757.125137751,361.757125137751,312253.511127179,312.253511127179
2003,0.745522740895636,"Banteay Meanchey","Kampot",0.759333864168469,361757.125137751,361.757125137751,312253.511127179,312.253511127179
2004,0.524795064209196,"Banteay Meanchey","Kampot",0.759333864168469,361757.125137751,361.757125137751,312253.511127179,312.253511127179
2005,0.81262416713252,"Banteay Meanchey","Kampot",0.759333864168469,361757.125137751,361.757125137751,312253.511127179,312.253511127179
2006,0.175628773759181,"Banteay Meanchey","Kampot",0.759333864168469,361757.125137751,361.757125137751,312253.511127179,312.253511127179
2007,0.892113587456489,"Banteay Meanchey","Kampot",0.759333864168469,361757.125137751,361.757125137751,312253.511127179,312.253511127179
2008,0.386033714999136,"Banteay Meanchey","Kampot",0.759333864168469,361757.125137751,361.757125137751,312253.511127179,312.253511127179
2009,0.759146018469478,"Banteay Meanchey","Kampot",0.759333864168469,361757.125137751,361.757125137751,312253.511127179,312.253511127179
2010,0.764262998666712,"Banteay Meanchey","Kampot",0.759333864168469,361757.125137751,361.757125137751,312253.511127179,312.253511127179
2011,0.739534309128286,"Banteay Meanchey","Kampot",0.759333864168469,361757.125137751,361.757125137751,312253.511127179,312.253511127179
2012,0.852942234409251,"Banteay Meanchey","Kampot",0.759333864168469,361757.125137751,361.757125137751,312253.511127179,312.253511127179
2013,0.677773916903677,"Banteay Meanchey","Kampot",0.759333864168469,361757.125137751,361.757125137751,312253.511127179,312.253511127179
2014,0.173598860345443,"Banteay Meanchey","Kampot",0.759333864168469,361757.125137751,361.757125137751,312253.511127179,312.253511127179
2015,0.655821038188874,"Banteay Meanchey","Kampot",0.759333864168469,361757.125137751,361.757125137751,312253.511127179,312.253511127179
2016,0.715950018694615,"Banteay Meanchey","Kampot",0.759333864168469,361757.125137751,361.757125137751,312253.511127179,312.253511127179
2017,0.596946523950286,"Banteay Meanchey","Kampot",0.759333864168469,361757.125137751,361.757125137751,312253.511127179,312.253511127179
2018,0.76641251757449,"Banteay Meanchey","Kampot",0.759333864168469,361757.125137751,361.757125137751,312253.511127179,312.253511127179
2019,0.951064554921653,"Banteay Meanchey","Kampot",0.759333864168469,361757.125137751,361.757125137751,312253.511127179,312.253511127179
2020,0.781538305927809,"Banteay Meanchey","Kampot",0.759333864168469,361757.125137751,361.757125137751,312253.511127179,312.253511127179
2002,0.881111027381352,"Banteay Meanchey","Kandal",0.80430203801859,340557.561821772,340.557561821772,312253.511127179,312.253511127179
2003,0.915032176253939,"Banteay Meanchey","Kandal",0.80430203801859,340557.561821772,340.557561821772,312253.511127179,312.253511127179
2004,0.786240614683282,"Banteay Meanchey","Kandal",0.80430203801859,340557.561821772,340.557561821772,312253.511127179,312.253511127179
2005,0.818217525716673,"Banteay Meanchey","Kandal",0.80430203801859,340557.561821772,340.557561821772,312253.511127179,312.253511127179
2006,0.802331735577676,"Banteay Meanchey","Kandal",0.80430203801859,340557.561821772,340.557561821772,312253.511127179,312.253511127179
2007,0.967220090010989,"Banteay Meanchey","Kandal",0.80430203801859,340557.561821772,340.557561821772,312253.511127179,312.253511127179
2008,0.751815917755292,"Banteay Meanchey","Kandal",0.80430203801859,340557.561821772,340.557561821772,312253.511127179,312.253511127179
2009,0.792334980931231,"Banteay Meanchey","Kandal",0.80430203801859,340557.561821772,340.557561821772,312253.511127179,312.253511127179
2010,0.933580023801758,"Banteay Meanchey","Kandal",0.80430203801859,340557.561821772,340.557561821772,312253.511127179,312.253511127179
2011,0.903907217491621,"Banteay Meanchey","Kandal",0.80430203801859,340557.561821772,340.557561821772,312253.511127179,312.253511127179
2012,0.891220456839393,"Banteay Meanchey","Kandal",0.80430203801859,340557.561821772,340.557561821772,312253.511127179,312.253511127179
2013,0.867196923851709,"Banteay Meanchey","Kandal",0.80430203801859,340557.561821772,340.557561821772,312253.511127179,312.253511127179
2014,0.636380515075653,"Banteay Meanchey","Kandal",0.80430203801859,340557.561821772,340.557561821772,312253.511127179,312.253511127179
2015,0.864420498721348,"Banteay Meanchey","Kandal",0.80430203801859,340557.561821772,340.557561821772,312253.511127179,312.253511127179
2016,0.88865029166258,"Banteay Meanchey","Kandal",0.80430203801859,340557.561821772,340.557561821772,312253.511127179,312.253511127179
2017,0.777489130202194,"Banteay Meanchey","Kandal",0.80430203801859,340557.561821772,340.557561821772,312253.511127179,312.253511127179
2018,0.890308573741061,"Banteay Meanchey","Kandal",0.80430203801859,340557.561821772,340.557561821772,312253.511127179,312.253511127179
2019,0.970113209851168,"Banteay Meanchey","Kandal",0.80430203801859,340557.561821772,340.557561821772,312253.511127179,312.253511127179
2020,0.866516994336346,"Banteay Meanchey","Kandal",0.80430203801859,340557.561821772,340.557561821772,312253.511127179,312.253511127179
2002,0.592748864271135,"Banteay Meanchey","Kep",0.491637792867268,390586.577131884,390.586577131884,312253.511127179,312.253511127179
2003,0.27872004650526,"Banteay Meanchey","Kep",0.491637792867268,390586.577131884,390.586577131884,312253.511127179,312.253511127179
2004,0.0837243071198516,"Banteay Meanchey","Kep",0.491637792867268,390586.577131884,390.586577131884,312253.511127179,312.253511127179
2005,0.0725725054909474,"Banteay Meanchey","Kep",0.491637792867268,390586.577131884,390.586577131884,312253.511127179,312.253511127179
2006,-0.259815265823506,"Banteay Meanchey","Kep",0.491637792867268,390586.577131884,390.586577131884,312253.511127179,312.253511127179
2007,0.822071360858416,"Banteay Meanchey","Kep",0.491637792867268,390586.577131884,390.586577131884,312253.511127179,312.253511127179
2008,0.0158426346705035,"Banteay Meanchey","Kep",0.491637792867268,390586.577131884,390.586577131884,312253.511127179,312.253511127179
2009,0.144916428756532,"Banteay Meanchey","Kep",0.491637792867268,390586.577131884,390.586577131884,312253.511127179,312.253511127179
2010,0.423025460354136,"Banteay Meanchey","Kep",0.491637792867268,390586.577131884,390.586577131884,312253.511127179,312.253511127179
2011,-0.389775853976454,"Banteay Meanchey","Kep",0.491637792867268,390586.577131884,390.586577131884,312253.511127179,312.253511127179
2012,0.152446529302191,"Banteay Meanchey","Kep",0.491637792867268,390586.577131884,390.586577131884,312253.511127179,312.253511127179
2013,0.297250857043802,"Banteay Meanchey","Kep",0.491637792867268,390586.577131884,390.586577131884,312253.511127179,312.253511127179
2014,-0.0909488634715824,"Banteay Meanchey","Kep",0.491637792867268,390586.577131884,390.586577131884,312253.511127179,312.253511127179
2015,-0.542220957527266,"Banteay Meanchey","Kep",0.491637792867268,390586.577131884,390.586577131884,312253.511127179,312.253511127179
2016,-0.0486105553719171,"Banteay Meanchey","Kep",0.491637792867268,390586.577131884,390.586577131884,312253.511127179,312.253511127179
2017,0.374421297347217,"Banteay Meanchey","Kep",0.491637792867268,390586.577131884,390.586577131884,312253.511127179,312.253511127179
2018,-0.0182093214448747,"Banteay Meanchey","Kep",0.491637792867268,390586.577131884,390.586577131884,312253.511127179,312.253511127179
2019,0.746024241186383,"Banteay Meanchey","Kep",0.491637792867268,390586.577131884,390.586577131884,312253.511127179,312.253511127179
2020,0.429960694301519,"Banteay Meanchey","Kep",0.491637792867268,390586.577131884,390.586577131884,312253.511127179,312.253511127179
2002,0.370070483532782,"Banteay Meanchey","Koh Kong",0.515035462457152,262496.86777294,262.49686777294,312253.511127179,312.253511127179
2003,0.579963027001424,"Banteay Meanchey","Koh Kong",0.515035462457152,262496.86777294,262.49686777294,312253.511127179,312.253511127179
2004,0.365094346750578,"Banteay Meanchey","Koh Kong",0.515035462457152,262496.86777294,262.49686777294,312253.511127179,312.253511127179
2005,0.623546876926875,"Banteay Meanchey","Koh Kong",0.515035462457152,262496.86777294,262.49686777294,312253.511127179,312.253511127179
2006,-0.156269191740496,"Banteay Meanchey","Koh Kong",0.515035462457152,262496.86777294,262.49686777294,312253.511127179,312.253511127179
2007,0.925849235991305,"Banteay Meanchey","Koh Kong",0.515035462457152,262496.86777294,262.49686777294,312253.511127179,312.253511127179
2008,0.101567842633636,"Banteay Meanchey","Koh Kong",0.515035462457152,262496.86777294,262.49686777294,312253.511127179,312.253511127179
2009,-0.210978881624897,"Banteay Meanchey","Koh Kong",0.515035462457152,262496.86777294,262.49686777294,312253.511127179,312.253511127179
2010,0.634372468085548,"Banteay Meanchey","Koh Kong",0.515035462457152,262496.86777294,262.49686777294,312253.511127179,312.253511127179
2011,0.266927637754317,"Banteay Meanchey","Koh Kong",0.515035462457152,262496.86777294,262.49686777294,312253.511127179,312.253511127179
2012,0.295814661108365,"Banteay Meanchey","Koh Kong",0.515035462457152,262496.86777294,262.49686777294,312253.511127179,312.253511127179
2013,0.441215927771617,"Banteay Meanchey","Koh Kong",0.515035462457152,262496.86777294,262.49686777294,312253.511127179,312.253511127179
2014,-0.00518662083569021,"Banteay Meanchey","Koh Kong",0.515035462457152,262496.86777294,262.49686777294,312253.511127179,312.253511127179
2015,0.24305187411344,"Banteay Meanchey","Koh Kong",0.515035462457152,262496.86777294,262.49686777294,312253.511127179,312.253511127179
2016,0.269489634804801,"Banteay Meanchey","Koh Kong",0.515035462457152,262496.86777294,262.49686777294,312253.511127179,312.253511127179
2017,-0.161018069835808,"Banteay Meanchey","Koh Kong",0.515035462457152,262496.86777294,262.49686777294,312253.511127179,312.253511127179
2018,-0.0680973788917529,"Banteay Meanchey","Koh Kong",0.515035462457152,262496.86777294,262.49686777294,312253.511127179,312.253511127179
2019,0.570874030846426,"Banteay Meanchey","Koh Kong",0.515035462457152,262496.86777294,262.49686777294,312253.511127179,312.253511127179
2020,0.0287891436211158,"Banteay Meanchey","Koh Kong",0.515035462457152,262496.86777294,262.49686777294,312253.511127179,312.253511127179
2002,0.63871823972786,"Banteay Meanchey","Kratie",0.338572685975594,345524.628325948,345.524628325948,312253.511127179,312.253511127179
2003,0.771559394294055,"Banteay Meanchey","Kratie",0.338572685975594,345524.628325948,345.524628325948,312253.511127179,312.253511127179
2004,0.252880006670525,"Banteay Meanchey","Kratie",0.338572685975594,345524.628325948,345.524628325948,312253.511127179,312.253511127179
2005,0.489667284798262,"Banteay Meanchey","Kratie",0.338572685975594,345524.628325948,345.524628325948,312253.511127179,312.253511127179
2006,0.216926066814239,"Banteay Meanchey","Kratie",0.338572685975594,345524.628325948,345.524628325948,312253.511127179,312.253511127179
2007,0.653739075637095,"Banteay Meanchey","Kratie",0.338572685975594,345524.628325948,345.524628325948,312253.511127179,312.253511127179
2008,0.385908220065917,"Banteay Meanchey","Kratie",0.338572685975594,345524.628325948,345.524628325948,312253.511127179,312.253511127179
2009,0.483786130851615,"Banteay Meanchey","Kratie",0.338572685975594,345524.628325948,345.524628325948,312253.511127179,312.253511127179
2010,0.501082581908764,"Banteay Meanchey","Kratie",0.338572685975594,345524.628325948,345.524628325948,312253.511127179,312.253511127179
2011,0.517705705924699,"Banteay Meanchey","Kratie",0.338572685975594,345524.628325948,345.524628325948,312253.511127179,312.253511127179
2012,0.817271051168443,"Banteay Meanchey","Kratie",0.338572685975594,345524.628325948,345.524628325948,312253.511127179,312.253511127179
2013,0.840693985848492,"Banteay Meanchey","Kratie",0.338572685975594,345524.628325948,345.524628325948,312253.511127179,312.253511127179
2014,-0.115269294739334,"Banteay Meanchey","Kratie",0.338572685975594,345524.628325948,345.524628325948,312253.511127179,312.253511127179
2015,0.681643953828926,"Banteay Meanchey","Kratie",0.338572685975594,345524.628325948,345.524628325948,312253.511127179,312.253511127179
2016,0.461166858048994,"Banteay Meanchey","Kratie",0.338572685975594,345524.628325948,345.524628325948,312253.511127179,312.253511127179
2017,0.15141977267894,"Banteay Meanchey","Kratie",0.338572685975594,345524.628325948,345.524628325948,312253.511127179,312.253511127179
2018,0.393844874175734,"Banteay Meanchey","Kratie",0.338572685975594,345524.628325948,345.524628325948,312253.511127179,312.253511127179
2019,0.468892472355628,"Banteay Meanchey","Kratie",0.338572685975594,345524.628325948,345.524628325948,312253.511127179,312.253511127179
2020,0.774668526493674,"Banteay Meanchey","Kratie",0.338572685975594,345524.628325948,345.524628325948,312253.511127179,312.253511127179
2002,-0.18121986789562,"Banteay Meanchey","Mondul Kiri",0.382265304102248,442082.51184599,442.08251184599,312253.511127179,312.253511127179
2003,0.137461484584574,"Banteay Meanchey","Mondul Kiri",0.382265304102248,442082.51184599,442.08251184599,312253.511127179,312.253511127179
2004,-0.211778600378724,"Banteay Meanchey","Mondul Kiri",0.382265304102248,442082.51184599,442.08251184599,312253.511127179,312.253511127179
2005,-0.196585501676264,"Banteay Meanchey","Mondul Kiri",0.382265304102248,442082.51184599,442.08251184599,312253.511127179,312.253511127179
2006,-0.167528898608819,"Banteay Meanchey","Mondul Kiri",0.382265304102248,442082.51184599,442.08251184599,312253.511127179,312.253511127179
2007,0.399015919275681,"Banteay Meanchey","Mondul Kiri",0.382265304102248,442082.51184599,442.08251184599,312253.511127179,312.253511127179
2008,0.0300341087908975,"Banteay Meanchey","Mondul Kiri",0.382265304102248,442082.51184599,442.08251184599,312253.511127179,312.253511127179
2009,-0.37979324132417,"Banteay Meanchey","Mondul Kiri",0.382265304102248,442082.51184599,442.08251184599,312253.511127179,312.253511127179
2010,-0.30906356633856,"Banteay Meanchey","Mondul Kiri",0.382265304102248,442082.51184599,442.08251184599,312253.511127179,312.253511127179
2011,-0.389775853976452,"Banteay Meanchey","Mondul Kiri",0.382265304102248,442082.51184599,442.08251184599,312253.511127179,312.253511127179
2012,0.515285526576649,"Banteay Meanchey","Mondul Kiri",0.382265304102248,442082.51184599,442.08251184599,312253.511127179,312.253511127179
2013,-0.114088682643789,"Banteay Meanchey","Mondul Kiri",0.382265304102248,442082.51184599,442.08251184599,312253.511127179,312.253511127179
2014,-0.467774885723549,"Banteay Meanchey","Mondul Kiri",0.382265304102248,442082.51184599,442.08251184599,312253.511127179,312.253511127179
2015,0.564668579136713,"Banteay Meanchey","Mondul Kiri",0.382265304102248,442082.51184599,442.08251184599,312253.511127179,312.253511127179
2016,0.428702103839812,"Banteay Meanchey","Mondul Kiri",0.382265304102248,442082.51184599,442.08251184599,312253.511127179,312.253511127179
2017,-0.583615426497247,"Banteay Meanchey","Mondul Kiri",0.382265304102248,442082.51184599,442.08251184599,312253.511127179,312.253511127179
2018,0.378292487292773,"Banteay Meanchey","Mondul Kiri",0.382265304102248,442082.51184599,442.08251184599,312253.511127179,312.253511127179
2019,0.805427627487573,"Banteay Meanchey","Mondul Kiri",0.382265304102248,442082.51184599,442.08251184599,312253.511127179,312.253511127179
2020,0.05870794824128,"Banteay Meanchey","Mondul Kiri",0.382265304102248,442082.51184599,442.08251184599,312253.511127179,312.253511127179
2002,0.268060641050015,"Banteay Meanchey","Oddar Meanchey",0.757326012125299,86017.5097852018,86.0175097852018,312253.511127179,312.253511127179
2003,0.739231299706582,"Banteay Meanchey","Oddar Meanchey",0.757326012125299,86017.5097852018,86.0175097852018,312253.511127179,312.253511127179
2004,0.610920795572145,"Banteay Meanchey","Oddar Meanchey",0.757326012125299,86017.5097852018,86.0175097852018,312253.511127179,312.253511127179
2005,0.731902966765803,"Banteay Meanchey","Oddar Meanchey",0.757326012125299,86017.5097852018,86.0175097852018,312253.511127179,312.253511127179
